Gender,Age,AnnualIncome,DeviceType,TimeSpentOnSite,PagesViewed,PreviousPurchases,DiscountOffered,EmailOpened,AdClicked,MembershipType,Purchase
Male,57,38551.72,Mobile,21.33,7,2,Yes,No,No,Basic,Yes
Female,24,16672.11,Desktop,2.3,3,0,No,Yes,No,No Membership,No
Female,49,35375.77,Mobile,1.05,3,3,No,Yes,Yes,No Membership,No
Female,36,52439.53,Mobile,4.29,6,0,No,Yes,Yes,No Membership,Yes
Male,23,82264.86,Desktop,2.94,4,1,Yes,Yes,No,No Membership,Yes
Male,37,62392.14,Mobile,1.04,7,3,No,No,No,Basic,Yes
Male,44,59191.49,Mobile,13.17,5,4,No,Yes,No,Premium,Yes
Female,60,34568.12,Mobile,28.08,4,2,No,No,No,Basic,Yes
Female,54,40159.26,Mobile,5.04,3,3,No,Yes,Yes,Premium,Yes
Female,24,41555.3,Mobile,8.94,3,2,Yes,No,No,Premium,Yes
Male,22,42289.68,Desktop,11.76,6,0,No,Yes,No,Basic,Yes
Female,28,48672.34,Desktop,7.24,4,1,No,No,No,No Membership,Yes
Female,32,50031.8,Desktop,0.27,3,1,No,Yes,No,Basic,No
Male,20,48896.59,Mobile,1.03,7,3,No,No,No,No Membership,No
Male,22,42916.16,Tablet,0.44,2,0,Yes,No,No,Basic,Yes
Male,40,57430.96,Desktop,0.06,7,1,No,Yes,No,Premium,Yes
Male,54,49340.53,Mobile,2.19,3,3,Yes,Yes,No,No Membership,Yes
Female,26,26279.79,Desktop,2.99,6,1,Yes,No,No,No Membership,Yes
Male,32,55618.87,Desktop,1.65,5,4,No,No,No,Premium,Yes
Male,20,52898.25,Desktop,0.4,4,3,No,Yes,Yes,Premium,Yes
Female,46,26566.71,Mobile,4.53,3,2,No,No,Yes,Premium,Yes
Male,23,44356.57,Mobile,1.92,4,3,No,No,No,No Membership,No
Male,34,65747.31,Desktop,9.54,6,1,Yes,No,No,Basic,Yes
Male,43,34543.9,Mobile,0.05,6,1,Yes,No,No,Basic,No
Male,38,32640.78,Desktop,11.09,3,1,No,Yes,No,Premium,No
Female,25,49152.09,Desktop,18.57,3,3,No,Yes,Yes,Premium,Yes
Male,38,66212.78,Desktop,7.56,4,1,No,Yes,Yes,Basic,Yes
Female,28,87585.9,Mobile,7.94,7,0,No,Yes,No,Premium,Yes
Female,55,66860.84,Desktop,16.27,5,2,Yes,No,No,Basic,Yes
Male,25,74526.9,Mobile,1.41,6,2,No,No,No,Basic,Yes
Female,59,61240.56,Desktop,31.29,4,2,No,No,No,No Membership,Yes
Male,41,42667.91,Desktop,8.91,2,1,Yes,No,Yes,Premium,No
Male,52,66730.8,Mobile,7.78,4,1,No,Yes,No,Basic,No
Female,31,53459.06,Desktop,2.69,6,3,Yes,Yes,No,No Membership,Yes
Female,31,61786.61,Mobile,4.74,6,1,No,Yes,Yes,Basic,No
Female,27,37971.46,Mobile,6.37,7,3,Yes,No,Yes,Basic,Yes
Male,29,63396.02,Mobile,5.81,6,1,Yes,No,No,No Membership,Yes
Male,55,52830.85,Mobile,7.32,2,1,Yes,Yes,Yes,Basic,Yes
Female,61,59162.64,Mobile,0.52,6,1,No,Yes,Yes,No Membership,No
Male,63,53468.68,Mobile,2.64,5,1,No,Yes,No,No Membership,Yes
Male,51,50010.34,Desktop,3.41,3,1,No,No,No,Premium,Yes
Male,58,63724.43,Desktop,1.81,6,1,No,Yes,No,Premium,No
Male,27,47690.36,Desktop,1.14,6,0,No,No,No,Premium,No
Female,34,26403.61,Mobile,0.9,11,0,Yes,Yes,No,No Membership,No
Male,34,21268.54,Tablet,2.74,5,0,Yes,No,No,Basic,No
Female,20,58319.5,Desktop,4.08,7,0,Yes,No,No,No Membership,Yes
Male,48,46950.08,Mobile,0.39,5,1,Yes,Yes,Yes,No Membership,Yes
Female,18,23876.21,Desktop,17.56,4,1,No,Yes,Yes,Premium,Yes
Female,29,56917.63,Mobile,8.7,1,1,Yes,Yes,Yes,Basic,Yes
Male,56,53310.26,Desktop,7.87,7,3,No,Yes,No,Basic,Yes
Female,21,46006.96,Mobile,1.14,5,2,No,No,Yes,Basic,No
Female,59,59442.57,Mobile,5.56,4,2,No,Yes,No,Basic,Yes
Female,30,78671.69,Desktop,4.53,6,1,No,No,No,Basic,No
Female,51,78122.63,Mobile,24.26,1,1,No,No,No,No Membership,Yes
Female,59,57587.76,Mobile,8.26,3,1,No,Yes,No,Premium,No
Female,38,53475.21,Tablet,5.14,5,2,No,No,Yes,No Membership,Yes
Male,39,57839.23,Tablet,11.42,8,2,No,No,No,Premium,Yes
Male,21,60562.12,Desktop,1.01,5,0,No,Yes,No,Basic,No
Male,35,50170.63,Mobile,0.09,2,1,Yes,Yes,No,Basic,No
Male,22,58141.78,Mobile,7.03,11,4,Yes,Yes,Yes,No Membership,Yes
Male,36,26674.67,Desktop,0.62,8,1,Yes,Yes,No,No Membership,No
Male,19,56464.28,Mobile,0.74,3,3,Yes,Yes,Yes,No Membership,Yes
Female,29,63582.64,Mobile,8.19,7,1,Yes,No,Yes,Basic,No
Male,34,46182.85,Mobile,1.89,5,2,No,Yes,Yes,No Membership,Yes
Male,27,53281.49,Mobile,5.94,3,2,Yes,No,No,Basic,Yes
Female,51,34992.9,Mobile,14.96,10,1,Yes,No,No,Basic,Yes
Male,23,32494.36,Mobile,2.28,6,0,Yes,Yes,No,No Membership,No
Female,25,58794.67,Mobile,1.47,7,3,No,Yes,No,No Membership,No
Male,28,41867.87,Mobile,0.68,2,1,No,Yes,No,Premium,No
Female,29,23017.14,Mobile,0.84,4,3,No,Yes,No,Basic,Yes
Female,26,34987.99,Mobile,0.39,8,0,No,No,Yes,Basic,No
Male,19,37605.18,Desktop,0.55,6,3,Yes,Yes,No,Basic,Yes
Male,25,68942.45,Desktop,3.39,4,3,Yes,Yes,Yes,No Membership,Yes
Female,28,58224.05,Mobile,2.32,7,1,Yes,No,No,No Membership,No
Female,53,39311.16,Mobile,7.36,5,0,Yes,No,No,No Membership,No
Female,27,44420.21,Mobile,12.25,5,2,No,No,Yes,No Membership,Yes
Female,38,78617.52,Mobile,9.22,4,2,Yes,No,No,Basic,Yes
Male,37,71849.84,Mobile,4.54,7,3,Yes,Yes,Yes,No Membership,Yes
Male,25,34874.91,Mobile,0.65,7,1,No,Yes,No,Basic,Yes
Male,53,75943.47,Desktop,7.42,5,0,Yes,Yes,No,Premium,No
Female,46,53548.68,Desktop,2.7,2,0,No,No,No,No Membership,No
Female,59,69393.01,Mobile,0.54,5,0,No,No,No,No Membership,No
Male,29,52060.46,Mobile,11.09,1,3,No,No,No,Basic,Yes
Male,31,76344.93,Desktop,2.48,3,0,Yes,No,Yes,Premium,Yes
Male,38,34126.83,Mobile,1.48,11,2,Yes,No,No,No Membership,Yes
Male,39,50401.89,Desktop,12.31,4,3,Yes,Yes,No,No Membership,Yes
Female,38,76896.28,Mobile,13.94,6,0,Yes,Yes,No,Basic,Yes
Female,61,12000.0,Desktop,2.48,5,2,Yes,No,No,Premium,Yes
Female,47,54170.89,Tablet,2.63,11,2,Yes,No,No,Basic,Yes
Male,56,47916.17,Tablet,5.2,5,1,No,No,No,No Membership,Yes
Male,37,67323.9,Mobile,7.93,7,1,Yes,Yes,Yes,No Membership,Yes
Female,41,74258.44,Mobile,0.39,6,1,No,No,Yes,Basic,No
Female,40,68145.11,Mobile,5.4,6,0,No,No,No,Premium,No
Female,24,59338.0,Tablet,18.32,7,3,No,No,No,No Membership,Yes
Female,26,55730.16,Mobile,1.82,6,1,No,Yes,No,Basic,No
Male,18,48831.21,Mobile,14.37,5,1,Yes,Yes,Yes,No Membership,Yes
Female,43,58779.51,Mobile,17.99,2,1,No,Yes,No,Basic,Yes
Male,55,81273.79,Mobile,1.88,3,0,No,No,No,No Membership,Yes
Male,55,40050.78,Mobile,8.42,2,2,No,No,No,Basic,No
Male,61,47762.53,Desktop,1.64,4,1,No,Yes,Yes,Basic,Yes
Male,39,53640.82,Mobile,8.03,6,2,Yes,No,Yes,Basic,Yes
Female,61,73016.79,Mobile,9.58,2,0,Yes,Yes,No,No Membership,No
Male,27,59019.44,Tablet,1.7,6,0,No,Yes,No,Premium,No
Female,23,72702.67,Desktop,7.55,6,4,No,Yes,No,Premium,Yes
Female,34,73613.98,Desktop,10.03,7,3,No,No,No,Basic,Yes
Male,55,65656.66,Mobile,2.66,5,2,Yes,Yes,No,Basic,Yes
Male,41,35848.11,Desktop,1.1,2,1,No,No,No,Premium,Yes
Female,27,84899.69,Mobile,0.58,2,1,No,Yes,No,Basic,No
Male,25,80422.85,Mobile,5.14,7,1,No,No,No,No Membership,No
Male,38,56143.72,Mobile,22.93,3,3,Yes,No,No,Premium,Yes
Male,23,30128.14,Mobile,10.39,8,1,No,No,No,Basic,Yes
Male,38,26911.03,Mobile,3.43,3,1,No,No,No,Basic,Yes
Female,56,59577.68,Tablet,4.62,3,2,Yes,No,No,Basic,Yes
Female,41,42368.49,Mobile,1.97,6,2,No,No,No,Basic,No
Female,50,24090.6,Mobile,1.07,6,0,Yes,Yes,No,Basic,No
Female,35,26571.42,Mobile,3.95,4,2,No,Yes,No,Premium,Yes
Female,45,46540.31,Mobile,3.74,5,2,Yes,No,No,No Membership,Yes
Male,49,58508.73,Desktop,4.43,7,1,Yes,No,No,Basic,Yes
Female,29,80302.83,Mobile,18.32,5,2,Yes,Yes,No,No Membership,Yes
Female,59,63715.97,Desktop,5.56,5,1,No,Yes,Yes,Premium,Yes
Female,44,48134.72,Mobile,5.58,5,1,No,Yes,No,No Membership,No
Female,27,61839.09,Desktop,0.82,4,3,No,Yes,No,No Membership,Yes
Male,63,60230.22,Desktop,33.91,6,2,Yes,No,No,Basic,Yes
Male,59,68311.81,Desktop,8.89,2,1,Yes,Yes,No,No Membership,Yes
Male,49,54281.04,Desktop,12.58,4,4,No,Yes,No,Basic,Yes
Male,59,73651.56,Desktop,3.21,5,3,No,Yes,No,Basic,Yes
Female,43,69840.13,Mobile,4.18,7,0,Yes,No,Yes,No Membership,No
Female,42,56488.6,Mobile,4.43,3,0,No,No,Yes,Basic,No
