Record_ID,Sale_Date,City,Neighborhood,Property_Type,Bedrooms,Bathrooms,Area_sqft,Lot_Size,Floors,House_Age,Garage_Capacity,Distance_to_City,Crime_Rate,School_Rating,Has_Garden,Has_Pool,Condition,Heating_Type,Target_Column
1,2024-07-22,Thane,Thane,Independent House,2,1,1428.0,1849.7,1,14,0,24.0,1.3,2.3,True,True,Poor,Gas,14114722.44
2,2025-09-10,Nashik,Nashik,Apartment,1,1,1116.7,1760.2,1,27,1,38.3,4.0,2.3,True,False,Poor,Solar,10167899.87
3,2024-08-26,Mumbai,Mumbai,Villa,3,4,2300.1,5200.8,3,18,2,23.5,7.3,2.1,True,False,Fair,Electric,22519584.74
4,2024-10-03,Nagpur,Nagpur,Independent House,2,2,1186.5,2418.4,3,13,0,24.8,2.5,4.2,True,False,Good,Solar,11615354.08
5,2025-02-09,Nagpur,Nagpur,Independent House,1,1,1115.2,2483.7,2,2,2,3.6,9.2,3.7,False,True,Poor,Gas,11339279.9
6,2024-04-22,Mumbai,Mumbai,Apartment,3,4,1464.9,3143.3,2,16,3,15.1,10.0,2.4,False,True,Poor,Solar,14957617.3
7,2025-03-21,Nashik,,Apartment,3,4,1951.7,,1,16,0,27.6,,,False,True,Fair,,19353548.05
8,2024-01-20,Nagpur,Nagpur,Villa,2,3,1544.7,3519.3,3,19,1,7.0,7.9,3.6,True,False,Fair,Gas,14656133.55
9,2025-07-06,Pune,Pune,Independent House,3,2,2458.4,5512.9,3,31,1,6.0,5.3,3.6,False,False,Good,Solar,23215041.86
10,2024-03-13,Mumbai,Mumbai,Apartment,2,2,882.8,2082.9,2,28,0,10.7,1.6,2.1,True,True,Good,Gas,10254748.25
11,2025-02-20,Nagpur,Nagpur,Apartment,3,4,2321.0,3457.9,2,15,1,22.0,7.5,4.6,False,True,Poor,Electric,22395852.28
12,2024-07-06,Nagpur,Nagpur,Apartment,3,2,1002.5,1187.8,3,6,2,32.2,2.0,2.6,False,True,Excellent,Electric,10725999.64
13,2025-01-23,Pune,pune,Villa,2,1,1850.9,4202.5,1,34,1,7.5,5.4,2.6,False,True,Fair,Electric,16811749.02
14,2025-08-21,Mumbai,Mumbai,Independent House,3,4,1330.4,1751.7,2,31,1,38.8,6.2,3.6,False,True,Good,Gas,13822291.6
15,2025-11-04,Nagpur,Nagpur,Independent House,2,1,1698.2,2029.5,1,38,3,5.7,9.0,2.7,True,True,Fair,Electric,16046518.25
16,2025-07-30,Thane,Thane,Apartment,2,2,1724.9,2213.5,3,25,2,18.8,9.4,4.8,True,False,Good,Solar,16728056.31
17,2024-05-17,Mumbai,Mumbai,Apartment,1,1,1389.1,2082.2,2,23,2,24.9,9.9,4.0,True,False,Good,Electric,13307365.8
18,2024-01-04,Mumbai,Mumbai,Apartment,2,1,1431.8,3284.7,3,40,3,10.8,9.2,2.2,False,False,Fair,Gas,12940781.66
19,2024-02-12,Pune,Pune,Apartment,2,3,1465.1,1841.1,3,0,1,22.3,8.5,3.7,True,False,Fair,Gas,14028666.36
20,2024-07-02,Mumbai,Mumbai,Villa,2,3,1193.1,2938.9,3,26,1,37.1,3.1,2.5,True,False,Poor,Solar,11166560.06
21,2024-01-25,Pune,Pune,Villa,4,3,2099.3,3433.5,1,6,3,9.7,8.3,3.4,False,True,Fair,Electric,20518952.06
22,2024-04-21,Mumbai,Mumbai,Villa,4,4,2359.3,3915.3,3,32,2,37.6,2.0,4.9,True,False,Fair,Electric,22477720.24
23,2024-03-12,Nagpur,Nagpur,Villa,2,3,1029.9,1500.2,3,12,3,1.1,9.3,3.6,True,False,Fair,Solar,10251239.0
24,2025-08-05,Thane,Thane,Independent House,3,4,1960.7,3987.4,2,19,3,28.2,6.0,2.6,False,True,Excellent,Electric,18848610.86
25,2025-06-11,Nashik,Nashik,Independent House,3,4,1378.2,2413.1,2,20,1,20.9,8.1,4.9,True,True,Fair,Gas,14788958.06
26,2025-10-06,Nagpur,Nagpur,Independent House,4,4,1847.6,4118.6,1,14,0,2.8,9.9,3.8,True,False,Poor,Electric,18120359.57
27,2024-05-16,Nagpur,Nagpur,Independent House,3,2,1271.8,2784.9,1,6,1,32.4,7.3,3.4,True,True,Fair,Electric,13206941.26
28,2024-10-08,Pune,Pune,Independent House,2,2,894.5,1542.3,1,35,3,18.6,7.8,4.5,False,False,Fair,Gas,8088250.23
29,2024-07-30,Mumbai,Mumbai,Villa,3,2,1440.3,1888.5,2,8,1,28.6,1.6,3.2,False,False,Excellent,Solar,14357622.56
30,2024-06-18,Nagpur,Nagpur,Apartment,2,2,1460.3,3351.1,2,24,1,20.0,3.5,3.5,False,False,Excellent,Electric,13779729.17
31,2024-10-11,Nagpur,Nagpur,Villa,1,2,882.1,1137.9,2,27,1,3.0,4.4,2.6,False,False,Fair,Gas,8002311.56
32,2024-05-09,Pune,Pune,Apartment,1,1,683.0,1373.1,3,14,0,30.4,9.5,2.6,True,True,Good,Electric,6810915.35
33,2025-11-24,Thane,Thane,Villa,1,2,1233.6,3021.3,3,38,0,31.3,2.5,2.9,True,False,Poor,Solar,10897877.74
34,2025-06-02,Mumbai,Mumbai,Apartment,4,3,1713.6,3557.5,2,6,0,32.1,6.1,2.1,False,False,Poor,Electric,17097076.15
35,2024-10-01,Thane,Thane,Apartment,6,6,2502.9,4279.1,3,9,2,25.0,9.3,4.3,False,False,Excellent,Electric,25575791.65
36,2024-10-13,Nashik,Nashik,Independent House,3,4,1775.1,3613.2,2,39,0,20.3,3.9,3.5,False,False,Fair,Solar,16891357.84
37,2025-02-18,Pune,Pune,Villa,4,3,2713.6,4841.1,1,26,3,26.2,5.4,4.4,True,False,Fair,Electric,26086999.06
38,2025-12-07,Thane,Thane,Apartment,3,4,1066.7,1698.8,2,21,2,13.0,3.1,4.2,False,True,Poor,Electric,11529826.63
39,2024-02-25,Mumbai,Mumbai,Independent House,3,4,1282.1,3170.3,1,18,2,9.9,2.6,2.0,True,False,Good,Solar,12428312.07
40,2025-02-14,Mumbai,Mumbai,Independent House,2,3,1893.6,3327.3,2,18,2,8.2,1.5,4.8,False,True,Excellent,Gas,18538932.75
41,2025-08-05,Nashik,Nashik,Independent House,3,2,1880.7,2380.6,2,15,1,31.3,4.4,4.7,False,False,Excellent,Gas,18249303.98
42,2024-10-22,Pune,,Independent House,1,1,1223.7,,1,15,1,1.1,,,False,True,Poor,,11735238.71
43,2024-11-10,Pune,Pune,Independent House,3,4,1064.9,1805.3,3,12,1,26.3,9.2,4.5,True,True,Fair,Electric,11002619.83
44,2024-04-03,Mumbai,Mumbai,Independent House,5,5,2042.3,3677.5,2,17,3,4.1,1.4,3.3,False,False,Excellent,Solar,21167554.54
45,2025-02-22,Nashik,Nashik,Independent House,2,2,1784.3,3590.1,2,33,1,39.9,4.9,4.4,True,False,Excellent,Gas,16305123.39
46,2025-04-18,Thane,Thane,Apartment,2,3,1130.3,2530.7,3,25,0,18.7,3.8,3.0,False,True,Fair,Solar,11825396.7
47,2025-07-18,Nashik,nashik,Villa,2,1,1528.4,2856.4,2,17,3,35.4,5.4,2.1,True,True,Excellent,Gas,14266159.48
48,2025-07-18,Nagpur,Nagpur,Apartment,5,4,2603.5,4680.3,3,9,2,20.8,3.5,4.5,False,True,Good,Gas,26130946.62
49,2025-07-05,Nagpur,Nagpur,Villa,2,2,1355.0,1997.3,1,32,2,29.3,8.5,3.7,False,True,Poor,Electric,13389620.98
50,2025-05-22,Pune,,Apartment,5,4,2420.7,,2,36,0,13.4,,,False,False,Fair,,23369767.24
51,2025-11-21,Nashik,Nashik,Villa,4,4,1879.0,3967.3,2,0,1,3.9,8.0,2.8,False,True,Fair,Solar,19021989.07
52,2024-06-19,Nagpur,Nagpur,Apartment,3,2,1335.2,1596.6,3,39,2,39.9,7.7,3.3,True,True,Excellent,Electric,12580950.96
53,2024-05-26,Thane,Thane,Independent House,3,3,1619.1,2334.6,2,9,1,7.6,1.7,4.6,True,False,Fair,Electric,16296523.02
54,2024-07-22,Nashik,Nashik,Villa,2,2,1497.7,1978.7,2,34,2,39.5,3.7,4.9,False,False,Excellent,Gas,13920509.79
55,2024-08-23,Nashik,Nashik,Villa,2,3,1153.5,1304.3,3,18,3,11.7,6.1,4.1,True,False,Good,Solar,11791594.34
56,2024-11-30,Nashik,Nashik,Apartment,4,5,1639.5,3245.5,3,8,0,13.0,5.0,3.7,True,True,Good,Gas,17837690.33
57,2025-04-24,Mumbai,Mumbai,Apartment,3,4,1732.5,4121.5,1,32,2,36.6,9.5,4.9,False,False,Good,Solar,15864376.35
58,2024-04-20,Nashik,Nashik,Villa,3,3,1274.5,2812.8,1,5,2,21.9,5.1,4.0,False,False,Excellent,Solar,11993666.92
59,2024-04-28,Nagpur,Nagpur,Independent House,4,3,1979.5,3938.3,2,4,2,26.3,2.1,2.1,True,False,Good,Electric,19441244.15
60,2025-12-07,Mumbai,Mumbai,Villa,2,3,786.4,1326.4,3,34,1,35.5,6.9,4.5,False,False,Poor,Gas,7645520.48
61,2025-10-19,Pune,Pune,Apartment,4,4,1640.7,3876.0,3,34,2,3.4,3.5,4.9,False,True,Excellent,Electric,16929156.19
62,2024-05-28,Nashik,Nashik,Independent House,4,3,1510.5,3416.3,3,4,1,23.9,8.3,2.7,True,True,Fair,Gas,15905833.66
63,2025-05-02,Mumbai,Mumbai,Villa,3,2,2273.4,5015.0,1,22,2,1.6,3.4,2.4,False,True,Excellent,Electric,22367744.22
64,2024-03-16,Nagpur,Nagpur,Villa,1,2,300.0,456.7,3,33,0,3.4,5.3,3.2,True,False,Good,Gas,3208551.63
65,2025-04-07,Nagpur,Nagpur,Villa,4,5,1991.0,3251.8,3,20,2,18.7,6.4,2.3,True,True,Fair,Electric,20641112.66
66,2024-04-08,Nagpur,Nagpur,Villa,1,1,849.6,1725.6,2,20,1,27.8,5.3,2.3,True,True,Good,Solar,8621575.4
67,2025-08-14,Mumbai,Mumbai,Apartment,6,6,2664.7,4463.7,3,7,3,34.9,7.5,4.9,False,False,Poor,Gas,26919564.93
68,2024-07-03,Mumbai,Mumbai,Villa,4,4,1766.4,3828.9,3,7,1,32.5,8.6,4.9,True,False,Fair,Electric,17599309.19
69,2025-01-13,Pune,Pune,Villa,6,7,2509.0,3004.3,3,25,0,4.6,5.8,3.1,False,False,Excellent,Gas,25403244.78
70,2024-04-23,Nagpur,Nagpur,Independent House,2,3,1968.4,2915.2,3,5,3,19.9,5.0,2.8,True,False,Poor,Solar,19388879.67
71,2025-03-16,Nagpur,Nagpur,Villa,2,3,1424.2,1581.9,2,3,1,30.9,7.9,2.9,True,True,Good,Solar,14279115.06
72,2024-10-23,Nagpur,Nagpur,Apartment,1,1,807.4,1862.3,1,25,3,1.7,9.3,4.6,False,False,Fair,Gas,7209123.84
73,2024-12-07,Pune,Pune,Apartment,4,4,1719.9,2943.4,1,5,1,18.0,4.6,2.2,False,False,Excellent,Solar,16818962.49
74,2025-04-20,Nagpur,Nagpur,Independent House,1,1,415.0,593.8,1,9,2,8.7,6.4,4.3,True,True,Poor,Solar,4882325.1
75,2024-02-27,Thane,Thane,Apartment,5,6,2072.9,4788.2,3,20,2,6.9,1.6,3.3,False,False,Fair,Electric,21059271.16
76,2025-10-29,Thane,Thane,Independent House,2,1,1336.6,2621.1,3,5,3,19.0,6.0,4.4,True,False,Poor,Solar,13035128.91
